pd_multiplier,apr_strategy,cost_of_funds_annual,acquisition_cost,lgd,k_star_approve_pct,cutoff_pd_star,max_total_profit_at_k_star,youden_approve_pct_full,cutoff_gap_profit_minus_youden,category
1.0,flat_18,0.0,500,0.85,99.65249525359371,0.1373827191808035,290785878.319327,79.40568212639002,20.246813127203694,approve_all
1.0,flat_18,0.03,0,0.55,100.0,0.19155113956429146,344055060.352497,79.40568212639002,20.59431787360998,approve_all
1.0,flat_18,0.03,0,0.65,100.0,0.19155113956429146,341823752.4806477,79.40568212639002,20.59431787360998,approve_all
1.0,flat_18,0.03,0,0.75,99.99025291564958,0.18263148108791113,339593224.7961086,79.40568212639002,20.58457078925956,approve_all
1.0,flat_18,0.03,0,0.85,99.8868490642799,0.16280072589352976,337382777.4414381,79.40568212639002,20.48116693788988,approve_all
1.0,flat_18,0.03,250,0.55,100.0,0.19155113956429146,285063060.3524935,79.40568212639002,20.59431787360998,approve_all
1.0,flat_18,0.03,250,0.65,99.935584486032,0.16985251038536625,282838247.2039559,79.40568212639002,20.52990235964198,approve_all
1.0,flat_18,0.03,250,0.75,99.78895443449959,0.14861744093249712,280652964.79981357,79.40568212639002,20.383272308109568,approve_all
1.0,flat_18,0.03,250,0.85,99.62410157309466,0.13592373952271966,278524312.25812876,79.40568212639002,20.218419446704644,approve_all
1.0,flat_18,0.03,500,0.55,99.87413547599675,0.16071022416846784,226096404.11806783,79.40568212639002,20.468453349606733,approve_all
1.0,flat_18,0.03,500,0.65,99.65249525359371,0.1373827191808035,223956842.70776004,79.40568212639002,20.246813127203694,approve_all
1.0,flat_18,0.03,500,0.75,99.11937211825332,0.11765605246326172,221926236.51260087,79.40568212639002,19.713689991863305,approve_all
1.0,flat_18,0.03,500,0.85,98.78500474640629,0.10710544993304351,220006269.10994932,79.40568212639002,19.379322620016268,interior
1.0,flat_18,0.06,0,0.55,100.0,0.19155113956429146,272789609.62298113,79.40568212639002,20.59431787360998,approve_all
1.0,flat_18,0.06,0,0.65,99.9351606997559,0.16969276564940036,270565480.06969875,79.40568212639002,20.52947857336588,approve_all
1.0,flat_18,0.06,0,0.75,99.7898020070518,0.14870303120225675,268386902.4290759,79.40568212639002,20.384119880661785,approve_all
1.0,flat_18,0.06,0,0.85,99.54400596691077,0.13236633167507122,266266753.959337,79.40568212639002,20.138323840520755,approve_all
1.0,flat_18,0.06,250,0.55,99.84150393273664,0.15607192781759482,213827327.55024505,79.40568212639002,20.435821806346624,approve_all
1.0,flat_18,0.06,250,0.65,99.50205112557634,0.13060849636593178,211697062.28893194,79.40568212639002,20.096368999186325,approve_all
1.0,flat_18,0.06,250,0.75,99.11937211825332,0.11765605246326172,209686073.5740645,79.40568212639002,19.713689991863305,approve_all
1.0,flat_18,0.06,250,0.85,98.70151885001356,0.10479418650661303,207789224.9612041,79.40568212639002,19.295836723623538,interior
1.0,flat_18,0.06,500,0.55,98.88544209384324,0.11028863141312696,155133418.8885752,79.40568212639002,19.47975996745322,interior
1.0,flat_18,0.06,500,0.65,98.45233251966368,0.09784419352791209,153288252.45821357,79.40568212639002,19.046650393273666,interior
1.0,flat_18,0.06,500,0.75,97.94124627068076,0.0858747950966259,151548605.62453717,79.40568212639002,18.535564144290746,interior
1.0,flat_18,0.06,500,0.85,97.3687110116626,0.07501673018947486,149912849.12517375,79.40568212639002,17.96302888527258,interior
1.0,flat_24,0.0,0,0.55,100.0,0.19155113956429146,570539051.330582,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.0,0,0.65,100.0,0.19155113956429146,568258181.518335,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.0,0,0.75,100.0,0.19155113956429146,565977311.7061145,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.0,0,0.85,100.0,0.19155113956429146,563696441.8938864,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.0,250,0.55,100.0,0.19155113956429146,511547051.3305907,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.0,250,0.65,100.0,0.19155113956429146,509266181.5183454,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.0,250,0.75,100.0,0.19155113956429146,506985311.70610815,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.0,250,0.85,100.0,0.19155113956429146,504704441.89388335,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.0,500,0.55,100.0,0.19155113956429146,452555051.330589,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.0,500,0.65,100.0,0.19155113956429146,450274181.5183479,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.0,500,0.75,100.0,0.19155113956429146,447993311.7061085,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.0,500,0.85,100.0,0.19155113956429146,445712441.89388794,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.03,0,0.55,100.0,0.19155113956429146,497653571.91834885,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.03,0,0.65,100.0,0.19155113956429146,495372702.1061141,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.03,0,0.75,100.0,0.19155113956429146,493091832.2938856,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.03,0,0.85,100.0,0.19155113956429146,490810962.48164535,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.03,250,0.55,100.0,0.19155113956429146,438661571.91834813,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.03,250,0.65,100.0,0.19155113956429146,436380702.10611224,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.03,250,0.75,100.0,0.19155113956429146,434099832.2938855,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.03,250,0.85,100.0,0.19155113956429146,431818962.4816445,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.03,500,0.55,100.0,0.19155113956429146,379669571.9183479,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.03,500,0.65,100.0,0.19155113956429146,377388702.1061064,79.40568212639002,20.59431787360998,approve_all
1.0,flat_24,0.03,500,0.75,99.97669175481421,0.17789858353335242,375109422.2872275,79.40568212639002,20.571009628424193,approve_all
1.0,flat_24,0.03,500,0.85,99.935584486032,0.16985251038536625,372842692.60725963,79.40568212639002,20.52990235964198,approve_all
1.0,flat_24,0.06,0,0.55,100.0,0.19155113956429146,424768092.5061155,79.40568212639002,20.59431787360998,approve_all
